"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
E18,—,DDR_DQ4_DQB11,VDDIO_DDR,DDR,IO,—,DDR_DQ4_DQB11,Data Input/Output:LP3-DQ4;LP4-DQB11,,,
E19,—,VSS,—,—,G,—,VSS,GND,,,
E20,—,DDR_NC_CAB0,VDD1P1_DDR_IO,DDR,IO,—,DDR_NC_CAB0,CA BUS:LP3-NC;LP4-CAB0,,,
F1,A3,MICPR,AVDD1P8_CODEC,Audio Codec,I,—,MICPR,Right ADC channel input,,,
F2,B3,MICNR,AVDD1P8_CODEC,Audio Codec,I,—,MICNR,Right ADC channel input,,,
F3,B4,CODEC_VCM,AVDD1P8_CODEC,Audio Codec,O,—,VCM,Reference voltage output,,,
F4,—,VSS,—,—,G,—,VSS,GND,,,
—,—,—,—,—,—,—,—,—,,,
F6,—,VSS,—,—,G,—,VSS,GND,,,
F7,D4,AVDD1P8_CODEC,—,—,P,—,AVDD1P8_CODEC,Codec 1.8V analog supply,,,
F8,D5,AVDD1P8_ADC,—,—,P,—,AVDD1P8_ADC,ADC 1.8V analog supply,,,
F9,C6,AVDD1P8_USB,—,—,P,—,AVDD1P8_USB,USB 1.8V VREG analog power supply,,,
F10,E15,VSS,—,—,G,—,VSS,GND,,,
F11,D9,AVSS,—,—,G,—,AVSS0,—,,,
F12,E6,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
F13,E8,VDD1P8,—,—,P,—,VDD1P8,System Function 1.8V power supply,,,
F14,D11,AVDD1P8_LDO,—,—,P,—,RTC_1V8,PMU 1.8V LDO power supply,,,
F15,D12,AVDD1P8_RTC,—,—,P,—,RTC_1V8,PMU 1.8V RTC power supply,,,
F16,E16,VSS,—,—,G,—,VSS,GND,,,
F17,—,DDR_NC_CAB4,VDDIO_DDR,DDR,IO,—,DDR_NC_CAB4,LP3-NC;LP4-CAB4,,,
F18,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
F19,—,DDR_NC_CAB5,VDDIO_DDR,DDR,IO,—,DDR_NC_CAB5,LP3-NC;LP4-CAB5,,,
F20,—,DDR_NC_CLKBN,VDDIO_DDR,DDR,IO,—,DDR_NC_CLKBN,LP3-NC;LP4-CLKBN,,,
G1,A2,HPOUTL,AVDD1P8_CODEC,Audio Codec,O,—,HPOUTL,Left DAC channel output,,,
G2,B2,HPOUTR,AVDD1P8_CODEC,Audio Codec,O,—,HPOUTR,Right DAC channel output,,,
G3,—,ADC_3,AVDD1P8_ADC,ADC,I,—,ADC_3,ADC Channel3,,,
G4,D3,GPIO48,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO48,GPIO48,,,
,,,,,,2,UART4_TXD,UART4 Transmit Data,,,
,,,,,,3,-,-,,,
,,,,,,4,IIC0_SCL,IIC0 Serial Clock,,,
,,,,,,5,-,-,,,
G5,C3,GPIO49,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO49,GPIO49,,,
,,,,,,2,UART4_RXD,UART4  Receive Data,,,
,,,,,,3,-,-,,,
,,,,,,4,IIC0_SDA,IIC0 Serial Data,,,
,,,,,,5,-,-,,,
G6,F3,VSS,—,—,G,—,VSS,GND,,,
G7,E4,AVSS,—,—,G,—,AVSS0,—,,,
G8,E5,AVSS,—,—,G,—,AVSS0,—,,,
G9,E7,VDD0P8_CORE,—,—,P,—,VDD_CORE_0V8,CORE(include CPU0) power supply,,,
G10,E9,VDD0P8_CORE,—,—,P,—,VDD_CORE_0V8,CORE(include CPU0) power supply,,,
G11,D8,AVDD0P8_PLL,—,—,P,—,AVDD0P8_PLL,SOC PLL analog power supply,,,
G12,E10,VDD0P8_CPU,—,—,P,—,VDD_CPU_0V8,CPU1 power supply,,,
G13,F8,VSS,—,—,G,—,VSS,GND,,,
G14,F10,VSS,—,—,G,—,VSS,GND,,,
G15,F12,VSS,—,—,G,—,VSS,GND,,,
G16,—,VSS,—,—,G,—,VSS,GND,,,
G17,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
G18,—,DDR_NC_CAB2,VDDIO_DDR,DDR,IO,—,DDR_NC_CAB2,LP3-NC;LP4-CAB2,,,
G19,—,DDR_NC_CAB1,VDDIO_DDR,DDR,IO,—,DDR_NC_CAB1,LP3-NC;LP4-CAB1,,,
G20,—,DDR_NC_CLKBP,VDDIO_DDR,DDR,IO,—,DDR_NC_CLKBP,LP3-NC;LP4-CLKBP,,,
H1,—,GPIO42,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO42,GPIO42,,,
,,,,,,2,UART1_RTS,UART1 Request-to-Send,,,
,,,,,,3,PWM0,PWM0,,,
,,,,,,4,QSPI1_D2,QSPI1 Data2,,,
,,,,,,5,-,-,,,
H2,B1,GPIO44,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO44,GPIO44,,,
,,,,,,2,UART2_TXD,UART2 Transmit Data,,,
,,,,,,3,IIC3_SCL,IIC3 Serial Clock,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
H3,C2,GPIO45,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO45,GPIO45,,,
,,,,,,2,UART2_RXD,UART2 Receive Data,,,
,,,,,,3,IIC3_SDA,IIC3 Serial Data,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
H4,—,GPIO46,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO46,GPIO46,,,
,,,,,,2,UART2_RTS,UART2 Request-to-Send,,,
,,,,,,3,PWM2,PWM2,,,
,,,,,,4,IIC4_SCL,IIC4 Serial Clock,,,
,,,,,,5,-,-,,,
H5,—,GPIO47,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO47,GPIO47,,,
,,,,,,2,UART2_CTS,UART2 Clear To Send,,,
,,,,,,3,PWM3,PWM3,,,
,,,,,,4,IIC4_SDA,IIC4 Serial Data,,,
,,,,,,5,-,-,,,
H6,F4,VDDIO_BANK3,—,—,P,—,VDD_1V8,1.8/3.3V power supply,,,
H7,G3,VSS,—,—,G,—,VSS,GND,,,
H8,F5,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
H9,F6,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
H10,F7,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
H11,G4,VSS,—,—,G,—,VSS,GND,,,
H12,F9,VDD0P8_CPU,—,—,P,—,VDD0P8_CPU,CPU1 power supply,,,
H13,G8,VSS,—,—,G,—,VSS,GND,,,
